0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:09:52 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:09:54 +0530] "GET /FoodApp/getmenu?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:09:54 +0530] "GET /FoodApp/getMenu.jsp HTTP/1.1" 200 23432
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:10:24 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:10:28 +0530] "GET /FoodApp/getmenu?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:10:28 +0530] "GET /FoodApp/getMenu.jsp HTTP/1.1" 200 24661
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:10:34 +0530] "POST /FoodApp/addcartcntrl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:10:34 +0530] "GET /FoodApp/getMenu.jsp HTTP/1.1" 200 24836
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:10:36 +0530] "GET /FoodApp/cart.jsp HTTP/1.1" 200 19029
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:10:46 +0530] "GET /FoodApp/getMenu.jsp HTTP/1.1" 200 24661
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:10:52 +0530] "POST /FoodApp/addcartcntrl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:10:52 +0530] "GET /FoodApp/getMenu.jsp HTTP/1.1" 200 24836
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:10:54 +0530] "GET /FoodApp/cart.jsp HTTP/1.1" 200 19029
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:11:48 +0530] "GET /FoodApp/getMenu.jsp HTTP/1.1" 200 24661
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:11:50 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:11:52 +0530] "GET /FoodApp/getmenu?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:11:52 +0530] "GET /FoodApp/getMenu.jsp HTTP/1.1" 200 23432
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:11:56 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:16:19 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 12627
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:17:47 +0530] "GET /FoodApp/cart.jsp HTTP/1.1" 200 19029
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:17:50 +0530] "GET /FoodApp/getMenu.jsp HTTP/1.1" 200 23432
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:18:02 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:18:15 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 11732
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:22:25 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 12657
0:0:0:0:0:0:0:1 - - [18/Nov/2024:23:24:12 +0530] "GET /FoodApp/home.jsp HTTP/1.1" 200 12671
